original_text,cleaned_text,rating,sentiment,text_length
"sigma bngt apknya, jdi mkin mewing",sigma bngt apknya jdi mkin mewing,4,positive,33
sangat bagus,sangat bagus,5,positive,12
bagus tapi kurang Velocity,bagus tapi kurang velocity,4,positive,26
Baik hanya kurang lancar,baik hanya kurang lancar,5,positive,24
kembalikan ig yang dulu bisa live meskipun pengikutnya ngga 1000,kembalikan ig yang dulu bisa live meskipun pengikutnya ngga,1,negative,59
mantap banyak variasi baru,mantap banyak variasi baru,5,positive,26
sa tidak bisa akses ig,sa tidak bisa akses ig,5,positive,22
aplikasi terbaik,aplikasi terbaik,5,positive,16
bagus bgt versi terbaru,bagus bgt versi terbaru,5,positive,23
aplikasi yg bagus peraturan baru nya yg ga bisa live aja yg kureng,aplikasi yg bagus peraturan baru nya yg ga bisa live aja yg kureng,5,positive,66
Alhamdulillah... bisa sebagai syiar menebar manfaat...,alhamdulillah bisa sebagai syiar menebar manfaat,5,positive,48
akun instrgram saya tidak bisa live streming alasan nya akun tidak memenuhi syarat. tolong perbaiki,akun instrgram saya tidak bisa live streming alasan nya akun tidak memenuhi syarat tolong perbaiki,1,negative,98
"parah isinya video gore semua, padahal ga niat pengen nonton juga",parah isinya video gore semua padahal ga niat pengen nonton juga,1,negative,64
Terimakasih atas manfaat yg saya rasakan dari kehadiran aplikasi IG,terimakasih atas manfaat yg saya rasakan dari kehadiran aplikasi ig,5,positive,67
bagus aplikasinya,bagus aplikasinya,4,positive,17
bagus bgt lancar dan pastinya kreen,bagus bgt lancar dan pastinya kreen,5,positive,35
selalu menyenangkan menghabiskan kuotaku bersamamu 💕,selalu menyenangkan menghabiskan kuotaku bersamamu,5,positive,50
"Instagram orang lain bisa nambahkan catatan, aku ga bisa kok beda sama yg lain!!!!",instagram orang lain bisa nambahkan catatan aku ga bisa kok beda sama yg lain,2,negative,77
Tidak bisa login,tidak bisa login,2,negative,16
sangat membaantu membagikan memori,sangat membaantu membagikan memori,5,positive,34
LAGI RAME2 DEMO GA BISA LIVE,lagi rame demo ga bisa live,1,negative,27
"ada bug, udah beberapa hari postingan semua orang gak ada, termasuk akun saya, tolong perbaiki",ada bug udah beberapa hari postingan semua orang gak ada termasuk akun saya tolong perbaiki,2,negative,91
terimakasih ya instagram udah telah menjadi penenang hati aku,terimakasih ya instagram udah telah menjadi penenang hati aku,5,positive,61
bagus aplikasinya tpi blm tau bagsimana caranya dpt cuan dri sini,bagus aplikasinya tpi blm tau bagsimana caranya dpt cuan dri sini,5,positive,65
Instagram sangat bagus,instagram sangat bagus,5,positive,22
aplikasi yang menyenangkan,aplikasi yang menyenangkan,5,positive,26
apaan sih update mulu,apaan sih update mulu,2,negative,21
keren lanjutkan,keren lanjutkan,5,positive,15
ini kenapa ya story tiba tiba hilang?,ini kenapa ya story tiba tiba hilang,1,negative,36
best app deserves 5 stars,best app deserves stars,5,positive,23
"Saya tidak bisa membuat akun, terpaksa saya harus buat akun di chrome, dan setelah akun baru jadi tetap tidak bisa login di aplikasi Ignya padahal sudah memasukkan sandi dan nomornya dengan benar",saya tidak bisa membuat akun terpaksa saya harus buat akun di chrome dan setelah akun baru jadi tetap tidak bisa login di aplikasi ignya padahal sudah memasukkan sandi dan nomornya dengan benar,1,negative,193
"i love youu insta ,soalnya ana bisa ngeliat dia heheh ,thank u buat yang negciptain instagram",i love youu insta soalnya ana bisa ngeliat dia heheh thank u buat yang negciptain instagram,5,positive,91
Assalamualaikum.......... Jadi gini saya login ke apknya kok tiba² keluar sendiri ya padahal saya baru juga login,assalamualaikum jadi gini saya login ke apknya kok tiba keluar sendiri ya padahal saya baru juga login,2,negative,102
lama terinsttan,lama terinsttan,5,positive,15
kembalikan live instagram,kembalikan live instagram,1,negative,25
ini gimana akun saya kenapa kena hek trs gak bisa bikin akun baru,ini gimana akun saya kenapa kena hek trs gak bisa bikin akun baru,1,negative,65
sangat berguna,sangat berguna,5,positive,14
"deploper kluarin fitur maps/peta yg menurut aku ga pnting krna itu privasi, lebih baik kasih fitur yg lebih berguna, seperti siapa yg unfoll kita agar kita tau, krna kita harus mencari satu persatu akun biarr ktemu siapa yg unfoll kita",deploper kluarin fitur maps peta yg menurut aku ga pnting krna itu privasi lebih baik kasih fitur yg lebih berguna seperti siapa yg unfoll kita agar kita tau krna kita harus mencari satu persatu akun biarr ktemu siapa yg unfoll kita,5,positive,232
"josss, akan lebih bagus lagi kl pas ngirim video videonya ga kepotong",josss akan lebih bagus lagi kl pas ngirim video videonya ga kepotong,5,positive,68
Belajar simpaty,belajar simpaty,5,positive,15
Kami suka Instagram komidian versi religion🙏🙏,kami suka instagram komidian versi religion,5,positive,43
sangat membantu kita jadi bisa tau mengenai berita berita yg ada di sekitar kita atau yg di belahan nusantara..,sangat membantu kita jadi bisa tau mengenai berita berita yg ada di sekitar kita atau yg di belahan nusantara,5,positive,109
interesting to use,interesting to use,4,positive,18
bug layar hitam saat mau bikin sg,bug layar hitam saat mau bikin sg,1,negative,33
"saya salah apa tim instagram, sampe akun saya di banned permanent, tolong kembalikan akun saya tim instagram, saya mohon",saya salah apa tim instagram sampe akun saya di banned permanent tolong kembalikan akun saya tim instagram saya mohon,1,negative,117
TOLONG FEEDS NYA JANGAN PERSEGI PANJANGGGG DONG PLSSSS,tolong feeds nya jangan persegi panjangggg dong plssss,5,positive,54
"instagram seru bahkan memiri ku sampai penuh karna aku foto""terus",instagram seru bahkan memiri ku sampai penuh karna aku foto terus,5,positive,65
Pokoknya oke punya....,pokoknya oke punya,5,positive,18
"Halo min, Bales woi pesen gw b5",halo min bales woi pesen gw b,5,positive,29
sangat baguss Dann seruu,sangat baguss dann seruu,5,positive,24
apk nya seru saya senang dengan reels nya,apk nya seru saya senang dengan reels nya,5,positive,41
"AI nya sering eror, suruh nubggu 24 jam padahal lagi butuh",ai nya sering eror suruh nubggu jam padahal lagi butuh,1,negative,54
aman dan mendapat kan teman,aman dan mendapat kan teman,5,positive,27
sangat bagus,sangat bagus,5,positive,12
Konten Dewasanya Selalu Muncul Padahal sudah saya filter reverensi Konten,konten dewasanya selalu muncul padahal sudah saya filter reverensi konten,5,positive,73
tidak manusiawi,tidak manusiawi,1,negative,15
"gunakan dengan bijak, mantep sih",gunakan dengan bijak mantep sih,5,positive,31
baguss dan bermanfaat 👌,baguss dan bermanfaat,5,positive,21
ga ngapa ngapain ko di tangguhkan,ga ngapa ngapain ko di tangguhkan,1,negative,33
udh g bisa live bjirrrr ahhh shiballl,udh g bisa live bjirrrr ahhh shiballl,1,negative,37
tombo mumet..,tombo mumet,5,positive,11
suka bgt sama aplikasi nya tapi kadang filter yg kita simpan hilang gitu tolong ya filter yg di simpan jangan hilang gitu 🙏🙏🙏,suka bgt sama aplikasi nya tapi kadang filter yg kita simpan hilang gitu tolong ya filter yg di simpan jangan hilang gitu,5,positive,121
Membantu Menemukan Hal Baru,membantu menemukan hal baru,5,positive,27
apa pun story nya instagram pemenangnya,apa pun story nya instagram pemenangnya,5,positive,39
"Followers hampir selalu bertambah tapi entah kenapa angka nya selalu stuck di angka yang sama hampir lebih dari beberapa bulan, bug kah? Pengikut bot kah? Serius nanya meta kerja nya ngapain si?",followers hampir selalu bertambah tapi entah kenapa angka nya selalu stuck di angka yang sama hampir lebih dari beberapa bulan bug kah pengikut bot kah serius nanya meta kerja nya ngapain si,1,negative,190
the best pokoknya buat Ig jangan ketinggalan dengan apl lain,the best pokoknya buat ig jangan ketinggalan dengan apl lain,5,positive,60
cara gabung grup dengan menggunakan barcode bagaimana yah ?,cara gabung grup dengan menggunakan barcode bagaimana yah,5,positive,57
bagusss tapi di akun aku tidak ada postingan ulngnya,bagusss tapi di akun aku tidak ada postingan ulngnya,5,positive,52
kena aju bandingkan padahal ga pernah ngapa ngapain,kena aju bandingkan padahal ga pernah ngapa ngapain,1,negative,51
sangat membantu untuk mengisi waktu luang,sangat membantu untuk mengisi waktu luang,5,positive,41
"Aplikasi instagram saya tidak bisa call sama video call, jadi pas di pencet itu langsung ke cancel sendiri, aneh bangett!!",aplikasi instagram saya tidak bisa call sama video call jadi pas di pencet itu langsung ke cancel sendiri aneh bangett,2,negative,118
kembalikann jedag jedug,kembalikann jedag jedug,5,positive,23
aplikasi nya bagusss banget seru bisa di tonton juga apalagi efek nya bagus',aplikasi nya bagusss banget seru bisa di tonton juga apalagi efek nya bagus,5,positive,75
Sering nge lag.,sering nge lag,4,positive,14
semua fitur yg bagus sebelum di update di ilangin semua. gak tau lagi mau bilang ap dan yg paling buat jengkel semua efek yg udah di simpan malah hilang semua terus di cari gak ketemu aneh memang semenjak di update in😮‍💨🙄,semua fitur yg bagus sebelum di update di ilangin semua gak tau lagi mau bilang ap dan yg paling buat jengkel semua efek yg udah di simpan malah hilang semua terus di cari gak ketemu aneh memang semenjak di update in,2,negative,216
sangat bagus,sangat bagus,5,positive,12
saya suka Instagram,saya suka instagram,1,negative,19
instagram knp gabisa live lagi???apa harus banget ini followers diatas 1000😭,instagram knp gabisa live lagi apa harus banget ini followers diatas,4,positive,68
ini kenapa intsagram jadi gga bisa update pemberitaan minta di update udah liat profil sndiri ajah gga bisa memuat ulang kabar gimana sii,ini kenapa intsagram jadi gga bisa update pemberitaan minta di update udah liat profil sndiri ajah gga bisa memuat ulang kabar gimana sii,2,negative,137
bisa melihat vlog,bisa melihat vlog,5,positive,17
Bagus sangat bermanfaat untuk.menjalin tali silaturahmi,bagus sangat bermanfaat untuk menjalin tali silaturahmi,5,positive,55
akun saya sandi nya sudah benar tapi tidak bisa masuk,akun saya sandi nya sudah benar tapi tidak bisa masuk,1,negative,53
"kok gabisa fitur live, pdhl 2k pengikut",kok gabisa fitur live pdhl k pengikut,2,negative,37
sangat menarik,sangat menarik,5,positive,14
"Fitur2 Instagram makin keren Alhamdulillah, tapi sebagai content creator saya agak menyayangkan karena gak ada lagi fitur ""Quiz"" di ""story"", padahal membantu banget buat mancing followers setia supaya stay follow dan interaksi. Semoga kedepannya fitur Quiz diadakan lagi",fitur instagram makin keren alhamdulillah tapi sebagai content creator saya agak menyayangkan karena gak ada lagi fitur quiz di story padahal membantu banget buat mancing followers setia supaya stay follow dan interaksi semoga kedepannya fitur quiz diadakan lagi,4,positive,262
Bagus banget,bagus banget,5,positive,12
saya menemukan pacar di Instagram,saya menemukan pacar di instagram,5,positive,33
Sekarang Instagram nya jelek setelah di update ada aja kendala macet lah ganti kata sandi lah Plisss tolong diperbaiki lagi Instagram biar bisa berfungsi lagi,sekarang instagram nya jelek setelah di update ada aja kendala macet lah ganti kata sandi lah plisss tolong diperbaiki lagi instagram biar bisa berfungsi lagi,1,negative,158
sangat memuaskan,sangat memuaskan,5,positive,16
"knp sih ini fitur nya g lngkap, komen story gada, fitur music di profile juga tbtb hilang, cape dh nglakuin smuanya tp ttp hilang, TOLONG DI PERBAIKI",knp sih ini fitur nya g lngkap komen story gada fitur music di profile juga tbtb hilang cape dh nglakuin smuanya tp ttp hilang tolong di perbaiki,1,negative,145
seruu dan juga bisa ketemu orang orang luar,seruu dan juga bisa ketemu orang orang luar,5,positive,43
sangat memuaskan.,sangat memuaskan,5,positive,16
apdetan nyusahin admin akun bikin design,apdetan nyusahin admin akun bikin design,1,negative,40
bagus bagus aja kok ini apk,bagus bagus aja kok ini apk,5,positive,27
"akun @29.isnaa kasi fitur posting ulang dongg, pliccccc🥺🥺🥺",akun isnaa kasi fitur posting ulang dongg pliccccc,5,positive,50
"okk,untuk instagram gue seneng scrol atau mengirim pesan,di instagram juga gua mendapat banyak teman,dan thanks yuu instagram",okk untuk instagram gue seneng scrol atau mengirim pesan di instagram juga gua mendapat banyak teman dan thanks yuu instagram,5,positive,125
"pliss jangan kasih fitur keamanan remaja, saya kesusahan dengan fitur ini di karenakan banyak tugas dari sekolah yang harus ga privat akunnya, plis setidaknya kasih buka akun biar ganti publik tanpa harus menggunakan fitur keamanan remaja! /",pliss jangan kasih fitur keamanan remaja saya kesusahan dengan fitur ini di karenakan banyak tugas dari sekolah yang harus ga privat akunnya plis setidaknya kasih buka akun biar ganti publik tanpa harus menggunakan fitur keamanan remaja,1,negative,236
belum begitu puas,belum begitu puas,4,positive,17
sangat seru dan membantu sy menemukan banyak kenalan setelah menggunakan aplikasi IG 😍👍👍,sangat seru dan membantu sy menemukan banyak kenalan setelah menggunakan aplikasi ig,5,positive,84
minta saran dong ini kenapa akun saya ga bisa buat live,minta saran dong ini kenapa akun saya ga bisa buat live,4,positive,55
good aplikasi,good aplikasi,5,positive,13
"Bagus, menyenangkan👍",bagus menyenangkan,4,positive,18
ok bngt ini mah,ok bngt ini mah,5,positive,15
sangat menghibur,sangat menghibur,5,positive,16
"POST FOTO DOANG BIKIN DARAH TINGGI TERUS TERUS GAGAL MEMUAT PERBAIKIN LAGI DEH SARAN AKU MAH, TERUS KALO MAU LOGIN PADAHAL SANDI NYA UDAH BENER TAPI TETEP GABISA JELEK BANGET NI APK",post foto doang bikin darah tinggi terus terus gagal memuat perbaikin lagi deh saran aku mah terus kalo mau login padahal sandi nya udah bener tapi tetep gabisa jelek banget ni apk,1,negative,180
udah cukup bagus sejauh ini,udah cukup bagus sejauh ini,5,positive,27
sangat baik,sangat baik,5,positive,11
ini kenapa ya kok gak bisa buat akun terus ngirim kodenya lama banget hampir 2 jam saya menunggu dan tidak ada kabar ini gimana??? Instagram?? makin tahun tambah susah buat akun baru,ini kenapa ya kok gak bisa buat akun terus ngirim kodenya lama banget hampir jam saya menunggu dan tidak ada kabar ini gimana instagram makin tahun tambah susah buat akun baru,1,negative,175
Sy sngat ska bsa ktmu tmn lama eh mantan jg nongol,sy sngat ska bsa ktmu tmn lama eh mantan jg nongol,5,positive,50
apk ter the best,apk ter the best,5,positive,16
bagussss sekali saya suka,bagussss sekali saya suka,5,positive,25
"pesan tiba-tiba pindah pojok kanan atas lagi, dan ga bisa di klik/buka.",pesan tiba tiba pindah pojok kanan atas lagi dan ga bisa di klik buka,1,negative,69
"WOILA aku insta ku masa hilang dituduh ini itu tanpa alasan, mana katanya uda di pantau nyatanya ga ada yang kulakuin dari semua tuduhan itu yh, tolong kembaliin akun saya yg uda kesimpen banyak kenangan disitu",woila aku insta ku masa hilang dituduh ini itu tanpa alasan mana katanya uda di pantau nyatanya ga ada yang kulakuin dari semua tuduhan itu yh tolong kembaliin akun saya yg uda kesimpen banyak kenangan disitu,1,negative,208
"ig saya kenapa ngebug ya, ga bisa melihat semua story dan layarnya jadi kosong, tetapi giliran di ig web atau lite bisa, tolong ini bagaimana",ig saya kenapa ngebug ya ga bisa melihat semua story dan layarnya jadi kosong tetapi giliran di ig web atau lite bisa tolong ini bagaimana,1,negative,138
Tidak bisa daftar😭,tidak bisa daftar,5,positive,17
aplikasi ini sangat bagus,aplikasi ini sangat bagus,5,positive,25
bagus tapi ya bagus,bagus tapi ya bagus,5,positive,19
jelek sekarang ngga bisa buat siaran langsung!!!!kenapa sih harus nunggu 1000 pengikut dulu.... padahal instagram ini buat nemenin saya biar ngga kesepian eh malah buat siaran langsung aja ngga bisa... ngga habis pikir lagiiiiii🤬😡😠 BALIKIN LAGI KE FITUR YANG NGGAK HARUS 1000 PENGIKUT BARU BISA LIVE!!!!!!!!,jelek sekarang ngga bisa buat siaran langsung kenapa sih harus nunggu pengikut dulu padahal instagram ini buat nemenin saya biar ngga kesepian eh malah buat siaran langsung aja ngga bisa ngga habis pikir lagiiiiii balikin lagi ke fitur yang nggak harus pengikut baru bisa live,5,positive,276
EMNG GK CEGAH JUDOL??CEGAH LAH KOCAK.BLOKIR PROMOSI2 JUDOL ANEH BANGET APLIKASI BESAR KAYA GINI MASIH AJA TERIKAT JUDOL,emng gk cegah judol cegah lah kocak blokir promosi judol aneh banget aplikasi besar kaya gini masih aja terikat judol,1,negative,117
"kamu tuh sama kaya WhatsApp, bikin salah paham aja bisanya, untung ga bikin berantem ya, awas aja kalo bikin aku berantem sama pacar aku, ku demo kamu👊🏻👎🏻 serlok serlok, bewan kita😡",kamu tuh sama kaya whatsapp bikin salah paham aja bisanya untung ga bikin berantem ya awas aja kalo bikin aku berantem sama pacar aku ku demo kamu serlok serlok bewan kita,1,negative,171
bisa mengekspresikan diri ♥️,bisa mengekspresikan diri,5,positive,25
bagusss bangettt,bagusss bangettt,5,positive,16
sangat baik,sangat baik,5,positive,11
Buruk banget makin di update makin gajelas fitur nya knpa sih ... mode tambah ke sorotan di ilangin,buruk banget makin di update makin gajelas fitur nya knpa sih mode tambah ke sorotan di ilangin,1,negative,95
KENAPA KL MW LIVE HRS 1000 FOLLOWERS DL PLS,kenapa kl mw live hrs followers dl pls,1,negative,38
"min fiks in dong ko acc saya ada postingan nya tapi ko ga muncul ya ,malah katanya belum ada postingan nya min",min fiks in dong ko acc saya ada postingan nya tapi ko ga muncul ya malah katanya belum ada postingan nya min,5,positive,109
BALIKIN TATA LETAK KE STELAN DULU WOI!!!,balikin tata letak ke stelan dulu woi,1,negative,37
berbagi pengalaman,berbagi pengalaman,5,positive,18
Ig kece bet bagus lah pokoknya mah cuma ada minus susah Ngembaliin akun yg di nonaktifkan,ig kece bet bagus lah pokoknya mah cuma ada minus susah ngembaliin akun yg di nonaktifkan,5,positive,89
notif dm ada. tapi gbs d bukaa,notif dm ada tapi gbs d bukaa,2,negative,29
"tolong fitur live nya balikin kaya dulu, jgn hrs nunggu 1000 followers dulu",tolong fitur live nya balikin kaya dulu jgn hrs nunggu followers dulu,1,negative,69
aplikasi bagus buat skrol-skrol vidio sama voto 👍,aplikasi bagus buat skrol skrol vidio sama voto,5,positive,47
"hari ini Instagram saya tidak bisa dibuka, eror padahal udah di update, kenapa ya kira-kira?",hari ini instagram saya tidak bisa dibuka eror padahal udah di update kenapa ya kira kira,2,negative,89
Bagus aplikasinya saya suka,bagus aplikasinya saya suka,5,positive,27
Saya sebelumnya mencoba aplikasi Beta namun tidak bisa. dan saya keluar. dari aplikasi beda dan mendownload aplikasi Instagram yg biasa tapi gak masuk juga mohon arahannya.,saya sebelumnya mencoba aplikasi beta namun tidak bisa dan saya keluar dari aplikasi beda dan mendownload aplikasi instagram yg biasa tapi gak masuk juga mohon arahannya,4,positive,169
woi Instagram perbaiki bug dm ga bisa dibuka,woi instagram perbaiki bug dm ga bisa dibuka,2,negative,44
"tolong kembalikan uang sy tiba tiba ke tarik otomatis di akun dana sy sebesar 42.180,itu sepertinya tidak sengaja kepencet fitur langganan,saya mohon kembalikan uang sy,sy sangat membutuhkannya MOHON SEGERA KEMBALIKAN",tolong kembalikan uang sy tiba tiba ke tarik otomatis di akun dana sy sebesar itu sepertinya tidak sengaja kepencet fitur langganan saya mohon kembalikan uang sy sy sangat membutuhkannya mohon segera kembalikan,1,negative,210
saya suka dengan aplikasi ini,saya suka dengan aplikasi ini,5,positive,29
kenapa dihp saya Redmi Note 12 pro muncul garis warna hijau!,kenapa dihp saya redmi note pro muncul garis warna hijau,1,negative,56
entah kenapa akun pertama tiba² ditangguhkan. mana kaga bisa login ulang,entah kenapa akun pertama tiba ditangguhkan mana kaga bisa login ulang,1,negative,70
saya sangat menyukainyaa,saya sangat menyukainyaa,5,positive,24
the best world,the best world,5,positive,14
gak bisa dark mode lemot banyak bug lebih mending paket yang lite,gak bisa dark mode lemot banyak bug lebih mending paket yang lite,1,negative,65
sangat menarik dan nyaman,sangat menarik dan nyaman,5,positive,25
Amaziiinnggg,amaziiinnggg,5,positive,12
bagus si tapi kok layar ny ijo ya gimana ni saya kasih bintang tiga aja deh,bagus si tapi kok layar ny ijo ya gimana ni saya kasih bintang tiga aja deh,5,positive,75
Tolonh lah jangan hapus fitur live,tolonh lah jangan hapus fitur live,1,negative,34
sangat bagus,sangat bagus,5,positive,12
gk bisa ngerepost. padahal udh di update dan siap di update malah ngebug,gk bisa ngerepost padahal udh di update dan siap di update malah ngebug,1,negative,71
"aplikasinya bagus, tapi fitur live nya gak ada",aplikasinya bagus tapi fitur live nya gak ada,1,negative,45
tidak ada fitur baru di Ig saya,tidak ada fitur baru di ig saya,1,negative,31
Instagram ok,instagram ok,5,positive,12
menyenangkan,menyenangkan,5,positive,12
tolong balikin fitur catatan postingan apaaan dah di hapus hapus aneh bat anjay,tolong balikin fitur catatan postingan apaaan dah di hapus hapus aneh bat anjay,1,negative,79
fitur translate di kolom komentarnya berfungsi sekarang mah,fitur translate di kolom komentarnya berfungsi sekarang mah,5,positive,59
Bagus banget,bagus banget,5,positive,12
mantap la pokoknya,mantap la pokoknya,5,positive,18
"This application is very good, I feel comfortable using it, but please, if you want to go live, don't have to have a thousand followers, at least under a thousand so that people who use this application will feel comfortable too.",this application is very good i feel comfortable using it but please if you want to go live don t have to have a thousand followers at least under a thousand so that people who use this application will feel comfortable too,5,positive,223
Setiap mau post muka rada' eror kadang bahkan gabisaa,setiap mau post muka rada eror kadang bahkan gabisaa,4,positive,52
asik bangett,asik bangett,5,positive,12
sangat bagus,sangat bagus,5,positive,12
ribet amat mau buat story..,ribet amat mau buat story,5,positive,25
"Aplikasi favorit, banyak menjawab pertanyaan, kualitas fotonya bagus",aplikasi favorit banyak menjawab pertanyaan kualitas fotonya bagus,5,positive,66
"Akun saya tiba"" Dinonaktifkan padahal saya tidak memakainya untuk hal menyimpang didalamnya ad foto almarhum",akun saya tiba dinonaktifkan padahal saya tidak memakainya untuk hal menyimpang didalamnya ad foto almarhum,1,negative,107
Saya tidak punya giff music,saya tidak punya giff music,5,positive,27
"sangat senag mengunakan instagram,",sangat senag mengunakan instagram,5,positive,33
"woi ig gmn ni? masa aplikasi nya harus di cloning dlu bru bisa login, di aplikasi cloning nya bisa login, giliran di aplikasi utamanya malah sandi nya salah mlu, akhirnya aplikasi utama gk kpke",woi ig gmn ni masa aplikasi nya harus di cloning dlu bru bisa login di aplikasi cloning nya bisa login giliran di aplikasi utamanya malah sandi nya salah mlu akhirnya aplikasi utama gk kpke,1,negative,189
kurir pasir,kurir pasir,4,positive,11
baguss tapii kenapa di akun pertama ku selalu telat sekali mengikuti update sedangkan di akun ke dua sudah ada update tersebut tolong perbarui dong instagram fitur kalian sudah bagus tapi saya suka sekali mendapatkan telat update,baguss tapii kenapa di akun pertama ku selalu telat sekali mengikuti update sedangkan di akun ke dua sudah ada update tersebut tolong perbarui dong instagram fitur kalian sudah bagus tapi saya suka sekali mendapatkan telat update,4,positive,229
"sangat bagus,saya menyukainya",sangat bagus saya menyukainya,5,positive,29
bagusss bwangetttt,bagusss bwangetttt,5,positive,18
ig nya qw ko blom ada rosalia sich min,ig nya qw ko blom ada rosalia sich min,5,positive,38
kurangnya untuk pengguna Android aja gak kayak pake ipone smood,kurangnya untuk pengguna android aja gak kayak pake ipone smood,4,positive,63
Setelah di upload..liat stori loding2 seperti gangguan gk mutar,setelah di upload liat stori loding seperti gangguan gk mutar,5,positive,61
seruu banget,seruu banget,5,positive,12
"pihak Instagram harus tau nih, masa HALAMAN INI SAAT INI TIDAK TERSEDIA, maksd nya apa kenapa sampe banyak orang yg kena Instagram nya seperti itu terutama bagi saya udah 4 hari 5 mlam belum bisa buka Instagram sampai saat ini, dan MAAF TIDAK BISA MEMUAT BERANDA, erorr apa gimana perbaikan apa gimana ini,tolong di perbaiki lagi untuk pengguna sekitarnya biar tenang",pihak instagram harus tau nih masa halaman ini saat ini tidak tersedia maksd nya apa kenapa sampe banyak orang yg kena instagram nya seperti itu terutama bagi saya udah hari mlam belum bisa buka instagram sampai saat ini dan maaf tidak bisa memuat beranda erorr apa gimana perbaikan apa gimana ini tolong di perbaiki lagi untuk pengguna sekitarnya biar tenang,1,negative,359
"saya kasih b5 biar kebaca, gatau bug atau emng hp saya kentang, saya sering ga bisa liat story temen sendiri, pdhal di liat temen satunya lagi ada story nya, dan juga kadang temen saya nge tag ke akun saya tapi ga bisa di repost, selalu ada bacaan ""cerita tidak tersedia"" mohon di konfirmasi secepatnya🙏🙏",saya kasih b biar kebaca gatau bug atau emng hp saya kentang saya sering ga bisa liat story temen sendiri pdhal di liat temen satunya lagi ada story nya dan juga kadang temen saya nge tag ke akun saya tapi ga bisa di repost selalu ada bacaan cerita tidak tersedia mohon di konfirmasi secepatnya,5,positive,294
josss membantu promosi kami,josss membantu promosi kami,5,positive,27
Karena tidak banyak larangan tidak seperti tiktok 😇😇,karena tidak banyak larangan tidak seperti tiktok,5,positive,49
"Instagram aku gak busa dibuka karna lupa kode autentikasi dua faktor nya. tapi tidak ada solusi, mau pakai jasa takut gak bisa dipercaya",instagram aku gak busa dibuka karna lupa kode autentikasi dua faktor nya tapi tidak ada solusi mau pakai jasa takut gak bisa dipercaya,2,negative,134
bagus bgt bintang lima dah,bagus bgt bintang lima dah,5,positive,26
"apk tolol bisa""nya orang lain biaa gampang masuk ke akun kita tanpa masukin sandi",apk tolol bisa nya orang lain biaa gampang masuk ke akun kita tanpa masukin sandi,1,negative,81
"kereen...banyak informasi kesehatan, kerohanian, hiburan yg menyenangkan",kereen banyak informasi kesehatan kerohanian hiburan yg menyenangkan,5,positive,68
knp suka kebuka sendiri ya waktu lagi bukak aplikasi lain setelah di update,knp suka kebuka sendiri ya waktu lagi bukak aplikasi lain setelah di update,2,negative,75
Alhamdulillah Wasyukurillah Instagram Luarbiasa Wassallam,alhamdulillah wasyukurillah instagram luarbiasa wassallam,5,positive,57
the bast deh instagram,the bast deh instagram,5,positive,22
sangat baik,sangat baik,5,positive,11
